id,question,solution,category
1,Define or explain: Micro-architecture,"The internal implementation of a processor, including its datapath, control logic, pipelines, caches, and other hardware structures used to execute an ISA.",Defintions
2,Define or explain: Instruction Set Architecture (ISA),"The programmer-visible contract of a processor, including instructions, registers, addressing modes, data types, and instruction encodings.",Defintions
3,Define or explain: Opcode,The part of an instruction that specifies which operation the processor should perform.,Defintions
4,Define or explain: Operand,"A value, register, memory address, or immediate constant used as input to an instruction or written as its result.",Defintions
5,Define or explain: ISA addressing modes,"The ways an instruction can specify where its operands come from, such as immediate values, registers, memory addresses, or address calculations.",Defintions
6,Define or explain: Data Path,"The processor hardware that stores and transforms data, such as registers, buses, multiplexers, ALUs, and memory interfaces.",Defintions
7,Define or explain: Control Path,The hardware or microcode that generates control signals to make the datapath perform the steps required by each instruction.,Defintions
8,Define or explain: Decode,"The stage where an instruction's binary encoding is interpreted to identify its operation, operands, and required control actions.",Defintions
9,Define or explain: Control,"The coordination of processor components using signals that select operations, move data, update state, and sequence instruction execution.",Defintions
10,Define or explain: 2-phase clock,"A clocking scheme with two non-overlapping phases, often used so different parts of a circuit can read and update state in a controlled order.",Defintions
11,Define or explain: Hardwired control,A control unit implemented directly with combinational and sequential logic rather than stored micro-instructions.,Defintions
12,Define or explain: Micro-programmed control,A control unit that executes stored micro-instructions to generate the control signals for each machine instruction.,Defintions
13,Define or explain: Micro-instructions,Low-level control words that directly specify datapath actions and sequencing inside a micro-programmed processor.,Defintions
14,Define or explain: Micro-program,A sequence of micro-instructions that implements one or more ISA-level instructions.,Defintions
15,Define or explain: CISC and RISC,"CISC uses larger, more complex instruction sets, while RISC uses simpler instructions designed for efficient implementation and pipelining.",Defintions
16,Define or explain: Speculative execution,"Executing instructions before it is certain they are needed, usually after predicting a branch, to improve performance if the prediction is correct.",Defintions
17,"Define or explain: Bus, and their properties (serial/parallel, synchronous/asynchrnous)","A bus is a shared communication link for data, addresses, or control signals; it may transmit bits serially or in parallel and may be clocked synchronously or coordinated asynchronously.",Defintions
18,Define or explain: Arithmetic logic unit (ALU),"The datapath component that performs arithmetic and logical operations such as addition, subtraction, AND, OR, and shifts.",Defintions
19,Define or explain: Ripple-carry full adder,"An adder built from full-adder stages where each carry-out feeds the next stage, making the carry propagate from low to high bits.",Defintions
20,Define or explain: Adder-subtractor,"A circuit that can add or subtract, commonly by conditionally inverting one input and setting the carry-in to perform two's complement subtraction.",Defintions
21,Define or explain: Two’s complement overflow,Overflow that occurs when adding same-sign two's complement operands produces a result with the opposite sign.,Defintions
22,Define or explain: Status registers,"Registers that hold condition flags or processor state, such as zero, carry, negative, overflow, interrupt enable, or privilege bits.",Defintions
23,Define or explain: Special purpose registers,"Registers with dedicated architectural roles, such as the program counter, stack pointer, status register, or link register.",Defintions
24,Define or explain: General purpose registers,Registers intended for ordinary program data and address calculations rather than a single fixed architectural role.,Defintions
25,Define or explain: Wallace Tree,A multiplier reduction structure that uses layers of adders to combine partial products quickly before a final addition.,Defintions
26,"Define or explain: Same Instruction, Multiple Data (SIMD)",A form of parallelism where one instruction applies the same operation to multiple data elements in a vector.,Defintions
27,Define or explain: Execution cycle,"The repeated sequence of steps a processor uses to execute instructions, typically including fetch, decode, execute, and writeback.",Defintions
28,Define or explain: Fetch/Decode/Execute/Writeback,"Common instruction stages: fetch gets the instruction, decode interprets it, execute performs the operation, and writeback stores the result.",Defintions
29,Define or explain: Instruction Pipelining,Overlapping the stages of multiple instructions so different instructions are processed at the same time in different pipeline stages.,Defintions
30,Define or explain: Bubbles,"Empty pipeline slots inserted when progress must pause, often because of hazards or stalls.",Defintions
31,Define or explain: Cycles per Instruction (CPI),The average number of clock cycles required to complete one instruction.,Defintions
32,Define or explain: Iron Law of processor performance,"Program time is determined by instruction count, cycles per instruction, and clock cycle time.",Defintions
33,"Define or explain: Hazards (data, structural, and control)","Pipeline problems that prevent the next instruction from executing normally: data hazards involve dependencies, structural hazards involve hardware conflicts, and control hazards involve branches or control flow.",Defintions
34,"Define or explain: Data dependencies (RAW, WAR, and WAW)","Relationships between instructions using the same data: RAW reads after a write, WAR writes after a read, and WAW writes after a write.",Defintions
35,Define or explain: Memory hierarchy,"The layered organization of storage, from small fast registers and caches through main memory to larger slower storage.",Defintions
36,Define or explain: von Neumann architecture,A computer organization where instructions and data share the same memory system and are processed by a CPU.,Defintions
37,Define or explain: Cache inclusivity,"A property describing whether data in one cache level is guaranteed to also exist in another level, such as inclusive, exclusive, or non-inclusive caches.",Defintions
38,Define or explain: Caches (instruction and data),Small fast memories that keep recently or frequently used instructions and data close to the processor.,Defintions
39,Define or explain: Working set,The set of memory locations a program actively uses over a period of time.,Defintions
40,Define or explain: Cache line,The fixed-size block of memory transferred between main memory and a cache.,Defintions
41,Define or explain: Cache hits and misses,A hit occurs when requested data is found in the cache; a miss occurs when it is absent and must be fetched from a lower level.,Defintions
42,Define or explain: Locality (temporal and spatial),Temporal locality means recently used data is likely to be reused; spatial locality means nearby addresses are likely to be used soon.,Defintions
43,Define or explain: Direct mapped cache,A cache where each memory block can be stored in exactly one cache line determined by its address.,Defintions
44,Define or explain: Cache eviction,Removing a cache line to make room for another block of memory.,Defintions
45,Define or explain: Tag Store,The part of a cache that stores address tags and metadata used to determine whether a cache line contains the requested block.,Defintions
46,Define or explain: Valid bit,A cache metadata bit indicating whether a cache line contains meaningful current data.,Defintions
